Original_Sequence_Hex,Reconstructed_Sequence_Bytes,Label_True,Label_Pred,Mean_LogProb,Min_LogProb
74617565667a657a6f6f74767164686168726467736473696265656d706475716c717265 6e6f6e7561736773697a71656273686166767365627363766474666461756f67666d6374696e7567736d7273656967646962 666e696575666c7270736c747a6467716d67746c65696466676e6463696e647364747463726e696c62 766d62647362656d6d72717a696971746c766e7a7a746f636572637169747264647a767472666c7362636c757a 746376686462666e6f687566746c65627162697a707a71696f6864746865726761667163697a6e6d6176757a75656f73,6cuofz1oootvqdaahrdgsdsib6e6pd6ql5re nonua7iiizqebsh6fvsees7eeffdauog6mc6inug6mrseigdi  ffee6ffz6lltzdgq6atleidfgndcindsdttcrn6lb vdddeeem6rqziiatlv7zztocer7q6trddzvtrflsbcl6tttcvhdbfnohfft6eb6bizpzq8ohdtcergaf6ciznmavuzueos  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.5060306,-13.315371
6465706d71646272676370667370697a7366676572667375707166616d686465706d7565686265656d62636e756671736476747a686271 736c65666367736f6d67676d756d667268686672726467677373616f686d 7a67706e6e746268646c766c697361676172726f72756763717a667a 6d656368696c636f6461637174636565626576637466626971617262647170 65696e7070766863656c627666716e7269657366766d66617571667168617576697475696469737266757170,6b6mqdbrgc6fsp6zsf6erf6upqfam6d6pmue6beembcnufq6dvtzhbq sl6ggg6omggmumfhhhfrrdggssaohm6zgpnnt6hd7ilisag6rr6r7gfqzff eechil66d6cqeeeedevc7fbiq6r6d6p einc6vhcel7ff6nr6esfvmf66qfqh6ffiddid6srfuqp e666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.30447,-12.630537
66767a69647471756e686d6f6972636375656e697164756f6c68686f736f616e66766969666273726e 74716f766f676c7a6663766c656574627368646563757a62 66646c62757665746c6761716c6973677263646d697371696761666974 6e76646964656e74686c61666c666871657661736474696267616471686e63676f706271736463667570676f656373756961666e656c726571666c6e 686d706e656f726270626f63716371726e626e676c6676727276656e657662676c676366627469616564727a66736468687a6e656265687a76,66dretqunhfo7cccueniqduol6h7soanfveff6edettqovofl6efeleet7sddecuzb6fd6e6eet7giqli4rrcdmis6igffir  edieentllaflf6qeva6d6ebg766h77g6pb6sdc66p7oecsuiaf6ll7eqffe hmpnfc6focccdcqnnb6effvrr7eelvbglgccbtiddd6csddhzz4eeecfpee6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.669275,-18.248438
766670636f736f706462627a6f7a7672766c67646f6c7263647569626366677063 7662746f737574736f706f67747472666d7462676164656774696671756f666d6d6672616966727a68716e677370 696c766f6e7462627a69746565636366647076757a6473737466767170627a61716563627a69616e76717668697a756c706f656f6d646972 636577686969636c6565736861706c68666e217a 68646374617366736162726373686f6c6874696f7a676f6c646f6c7071616d6f6970676173646473686c626967,66p7ooutd6zzo6v7v76d7lr6 iibcfg1d votosutoopoo6rr66aoffdeg7ifquof6ff6a6frzh7n6dp ilvon6azzzteec7f6pvuzdssffvqaaaqecb6aanvqvhi7ulpopom6irx6awhi6cce6shalhf6fz hdwtasvsnrrss6olhtiozoo7oolqoamoipgasdds6abi6ad666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-5.732548,-15.141278
737a68646268617274766f767a727a74676f676c676171616d71 746d6c666d646e6361646d757571736965627468746561617363666c63646e6d646f65 6771707a69707121626f71786e707a6c67717566617475707376737468677961756d75756864667269 626f766d726d746d75687568686664666f7563647068 706e6264767269757a75617069737a61667063656176757662707a6c73686f7a697a65646767686272737a6f6f757a6c6869,6hidbiartvo7zrztgqg6gaaa7qqtml6mdnc6d7uqqsi7bthteaa6cflc6nm6oe gqhii66lboqxnp6lgiu6atu76hthhgyammuuhdfri bov7rmtmuihhhfddouddpw pnbdvr6 auadis7af66e6fuqbpzlshozize7gghbrs6oouzlhi6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.226129,-19.514097
656e656f6e6471626d6c666163756463757169746e617567767a6676696c616d6d7462716361657a636e72677272667563 71656376716f68727467707273716173706f626d72696e666c7069747a6370717a6d68666e64756e7a706f6276686c61766475716d71696869 766d62706f706c7172736f657a6c6f70757261696174746f6771626563746f62616f6d6664756d73637373706c726c72 75766373696666686864667271696c68747172626d617565766373 6175616e64717362686f696f706563696e657a6d766673666263656f716475,6eeondqbmlfacudcuqqtniug6ffvilammtbqcae6cnrgrrfuc  ecvdohr6gprsqa7pobmr6n6lpitzc6zzm6fndun6pobvhl6vduqmiihi vmbpoplqfsfez76cuaaiat6odqbectcbaomf6um6css3lr r  ccsiffhhdfrqil6tqbbmauevcs ajaneqsbhoiopeci7zz6ffs3bceoqdu m666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.544938,-12.601685
7576757a687165656671616e76706d71716c65616864766368637a6373716f756171666d 71666f707669726364746361706774667469647a6d73647665756f72616d696f6266647a6f706164617172686f76706762616467 636969707363736769747476616d66746c61647a62627062757a6e726e72 6d6e6f68716869617572706d647a71726262646f627a727a7163716d6c73657675646d7276626d6e63716662616c7265 6874706576216d746d6872702d6f65736e626173,67zz6qeffq6nvpm6qleahdvchccc76oaaqjm6qfopvirc7tcapgt7tidz6s6ve6or7m7affdzopada7r7ovpgb77a ciiiscsgittv7mftlad76uubuznrnan6no6hiia7rpmdz6rbb7bzz6zqcqm6s76udqrvbmnc6eaalre htpwv!mhahrp-oeznbaaae66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.285434,-18.15138
656c61756d7a6e64677468666564676864706d63 7674656267626573646371707162656f66656c73647a63696276696e637671646d6475617172626f62647268 72727570766c716363637a70616d646464627476667273 68626f7270757675666c6f636770656164666c64677074666661766972657475697565656665746776616d71 62716167707a65617a75616c64677a687273707467756870676c65616965617a617670637a64756c7173626e65756e647069,6aeeezn6gthffdghd hc  eedgbesdc6p6bedf6lsdzmib6incvqdm7aarrb6bdrh  iipvlqc66zpa7dd6btvf7   borpvvuflo7gpeadfldgntfaavirhti7u6ffetgv7mq bqag6zeazua7dgzhrsptgrh6lleaee7zavkczzulqsbn6undpi  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.3689623,-12.749441
687466757173626173767a637663746c686f6c70716e6869706d6f626c757067706e76737a7666696c6672647a747563726e6d7462756874726872 756775726161687a717664627663746973676574707a6475756c7267676775636e637a7a 63736e6273716c636e6f65666765667373697573637667676f666976 7a616d6c676d63736f72637a7a6e7671667064626f7a6e767275647a627364 746f66726769646663737a636c75737068626c697272,6r67qaaasvzcvct7oolqq6hiiadb6qpgpnvsz6iiffrdz6ugrnmt7dhrrhrqug6raahzqvdbvctisg6tlz6uu6rg6guc6c7z6cs7ssq6ccoe6g6fssiuscvggoiiv aamlgm6s66zznnv66pdboznvrddzdsd tofrgidfcsz66usph6l6aadd666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.7634645,-11.634544
726374766969616470656274626e6865726473666c617566646d646c737a6469696d70666f646462 637565667275626c6675656f70666e6970627069686c656561656374766576756d6e6566766469 61666172646e72726665706c6d756865756c6570676776736568616568636270706c636462726f746374616d7a736c6d61617a7666 69767467626e70666d6d6563616f75637a6d7a616d62716471666f6c696e7665727169636c656f7664626d69717376726d7474687263646767 646c616e677571657a756361676d647267636d7165706668687a646e7a756c70,6c6a6i76pebtbnh6r6sflaufdmdlszdiifpfoddb duffrubl77eopfnipbpihleeae6tvevum6e6vfi afard6rrf6plm66eufepggvseh7cccbp6lcdcrotcta7zmlaaazvf6iv77bnpfmm6caouczm6ambqdqffl6nver7icl7ov6bmia6vrmthhr6dfg dla6guqiz1cagmd6gcm6epf6h6d6zulpff666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.697273,-13.674093
